"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"9524","PG","Stephen","Curry","47.9","30","11000","DEN@GS","GS","DEN","GTD","Leg","",""
"9642","PG","Russell","Westbrook","49.6","33","11000","OKC@CHA","OKC","CHA","","","",""
"9644","SG","James","Harden","46.2","34","10500","HOU@SA","HOU","SA","","","",""
"15755","PF","Anthony","Davis","44.3","29","10100","NO@DAL","NO","DAL","","","",""
"9488","SF","LeBron","James","44.2","29","9800","ORL@CLE","CLE","ORL","","","",""
"9646","SF","Kevin","Durant","43.6","27","9800","OKC@CHA","OKC","CHA","","","",""
"15860","PF","Draymond","Green","38.8","32","9400","DEN@GS","GS","DEN","","","",""
"15557","C","Andre","Drummond","43.3","33","9400","DET@IND","DET","IND","","","",""
"9560","PF","Blake","Griffin","41.3","30","9000","PHI@LAC","LAC","PHI","O","Quadriceps","",""
"9623","PG","Chris","Paul","36.7","29","8900","PHI@LAC","LAC","PHI","","","",""
"14513","SF","Kawhi","Leonard","38.5","32","8600","HOU@SA","SA","HOU","","","",""
"14507","PG","Kemba","Walker","34.1","32","8600","OKC@CHA","CHA","OKC","","","",""
"12341","SF","Paul","George","39.4","32","8600","DET@IND","IND","DET","","","",""
"14514","C","Nikola","Vucevic","33.6","30","8200","ORL@CLE","ORL","CLE","","","",""
"9581","C","Marc","Gasol","33","34","8100","MEM@UTA","MEM","UTA","","","",""
"9660","C","Dwight","Howard","32.8","28","7900","HOU@SA","HOU","SA","","","",""
"58462","C","Karl-Anthony","Towns","32.3","33","7900","MIL@MIN","MIN","MIL","","","",""
"9561","C","DeAndre","Jordan","33.3","34","7800","PHI@LAC","LAC","PHI","","","",""
"12351","PF","Derrick","Favors","33.3","26","7700","MEM@UTA","UTA","MEM","O","Back","",""
"12366","SF","Gordon","Hayward","30.2","31","7600","MEM@UTA","UTA","MEM","","","",""
"14496","PG","Ricky","Rubio","31.3","27","7600","MIL@MIN","MIN","MIL","","","",""
"14498","PG","Kyrie","Irving","19.8","4","7600","ORL@CLE","CLE","ORL","","","",""
"14523","PG","Reggie","Jackson","33.7","33","7500","DET@IND","DET","IND","","","",""
"9692","PG","Tyreke","Evans","33.5","15","7500","NO@DAL","NO","DAL","","","",""
"9809","SF","Nicolas","Batum","31.9","31","7400","OKC@CHA","CHA","OKC","","","",""
"14509","SG","Klay","Thompson","28.3","30","7400","DEN@GS","GS","DEN","","","",""
"9874","PF","Kevin","Love","33.8","30","7300","ORL@CLE","CLE","ORL","","","",""
"17333","SG","Will","Barton","29.2","33","7200","DEN@GS","DEN","GS","","","",""
"12337","C","Greg","Monroe","32.7","32","7200","MIL@MIN","MIL","MIN","","","",""
"40203","C","Rudy","Gobert","29.5","14","7100","MEM@UTA","UTA","MEM","O","Knee","",""
"9688","PF","LaMarcus","Aldridge","29.4","32","7000","HOU@SA","SA","HOU","","","",""
"40199","SG","Giannis","Antetokounmpo","29.4","32","7000","MIL@MIN","MIL","MIN","","","",""
"16261","SF","Khris","Middleton","27","34","6800","MIL@MIN","MIL","MIN","","","",""
"9500","PF","Dirk","Nowitzki","29.6","32","6800","NO@DAL","DAL","NO","","","",""
"16201","PG","Michael","Carter-Williams","26.7","29","6700","MIL@MIN","MIL","MIN","","","",""
"49116","SF","Andrew","Wiggins","28","32","6700","MIL@MIN","MIN","MIL","","","",""
"9575","PG","Mike","Conley","29.2","34","6700","MEM@UTA","MEM","UTA","","","",""
"9637","SF","Danilo","Gallinari","29.5","27","6700","DEN@GS","DEN","GS","GTD","Ankle","",""
"9454","C","Zaza","Pachulia","26.7","33","6500","NO@DAL","DAL","NO","","","",""
"9722","PG","Deron","Williams","27.5","27","6500","NO@DAL","DAL","NO","","","",""
"14521","PF","Kenneth","Faried","26.4","29","6400","DEN@GS","DEN","GS","","","",""
"14518","SF","Tobias","Harris","27.9","33","6400","ORL@CLE","ORL","CLE","","","",""
"23825","PF","Nerlens","Noel","25.4","29","6300","PHI@LAC","PHI","LAC","","","",""
"9957","PF","Serge","Ibaka","27","33","6200","OKC@CHA","OKC","CHA","","","",""
"58083","C","Jahlil","Okafor","28.9","31","6200","PHI@LAC","PHI","LAC","","","",""
"9710","C","Tim","Duncan","25.7","28","6200","HOU@SA","SA","HOU","GTD","Knee","",""
"9579","PF","Zach","Randolph","25.3","29","6100","MEM@UTA","MEM","UTA","","","",""
"19138","PG","Elfrid","Payton","25.5","33","6000","ORL@CLE","ORL","CLE","","","",""
"9702","PG","Tony","Parker","23.7","33","5900","HOU@SA","SA","HOU","","","",""
"15684","SG","Victor","Oladipo","26.3","31","5800","ORL@CLE","ORL","CLE","","","",""
"9526","SG","Monta","Ellis","25.3","32","5800","DET@IND","IND","DET","","","",""
"9609","C","Al","Jefferson","25.1","19","5800","OKC@CHA","CHA","OKC","O","Knee","",""
"12511","PG","Ishmael","Smith","23.2","31","5800","PHI@LAC","PHI","LAC","","","",""
"15636","SG","Kentavious","Caldwell-Pope","23.6","33","5700","DET@IND","DET","IND","","","",""
"9772","PF","Ryan","Anderson","26.2","30","5600","NO@DAL","NO","DAL","","","",""
"23096","SG","Evan","Fournier","23.4","33","5600","ORL@CLE","ORL","CLE","","","",""
"9593","PG","Brandon","Jennings","14.5","2","5600","DET@IND","DET","IND","","","",""
"9703","PG","George","Hill","24","29","5600","DET@IND","IND","DET","","","",""
"14512","SF","Marcus","Morris","24.8","33","5400","DET@IND","DET","IND","","","",""
"9663","PG","Jrue","Holiday","22.2","26","5400","NO@DAL","NO","DAL","","","",""
"9953","C","Ian","Mahinmi","21.8","30","5300","DET@IND","IND","DET","GTD","Knee","",""
"9598","PF","Ersan","Ilyasova","19.9","33","5300","DET@IND","DET","IND","","","",""
"12443","PG","Jeremy","Lin","21.6","30","5300","OKC@CHA","CHA","OKC","O","Ankle","",""
"14537","SF","Chandler","Parsons","16.8","26","5200","NO@DAL","DAL","NO","","","",""
"9538","SF","Trevor","Ariza","22.7","33","5200","HOU@SA","HOU","SA","","","",""
"15946","SF","Harrison","Barnes","23.5","17","5200","DEN@GS","GS","DEN","GTD","Ankle","",""
"9799","SG","Wesley","Matthews","20.5","31","5100","NO@DAL","DAL","NO","","","",""
"16412","PG","Tony","Wroten","12.4","8","5100","PHI@LAC","PHI","LAC","","","",""
"14516","C","Enes","Kanter","22.2","33","5100","OKC@CHA","OKC","CHA","","","",""
"9657","SF","Matt","Barnes","19.6","33","5100","MEM@UTA","MEM","UTA","O","Suspension","",""
"15771","C","Gorgui","Dieng","20.7","33","5000","MIL@MIN","MIN","MIL","","","",""
"15843","PG","Trey","Burke","19","31","5000","MEM@UTA","UTA","MEM","","","",""
"9574","SG","O.J.","Mayo","20","23","5000","MIL@MIN","MIL","MIN","","","",""
"9648","SF","Jeff","Green","19.7","34","5000","MEM@UTA","MEM","UTA","","","",""
"9655","SG","J.J.","Redick","20.1","30","5000","PHI@LAC","LAC","PHI","","","",""
"9652","PG","Jameer","Nelson","18.6","30","5000","DEN@GS","DEN","GS","","","",""
"20491","SF","Robert","Covington","23.5","26","5000","PHI@LAC","PHI","LAC","","","",""
"55059","PF","Clint","Capela","20.9","33","5000","HOU@SA","HOU","SA","","","",""
"63124","PG","Emmanuel","Mudiay","22.8","23","4900","DEN@GS","DEN","GS","O","Ankle","",""
"15904","SG","Rodney","Hood","20.5","30","4900","MEM@UTA","UTA","MEM","","","",""
"15757","PF","Terrence","Jones","18.9","28","4800","HOU@SA","HOU","SA","","","",""
"9752","C","Jordan","Hill","21.9","28","4800","DET@IND","IND","DET","O","Mouth","",""
"9451","PF","Marvin","Williams","22.2","32","4800","OKC@CHA","CHA","OKC","","","",""
"9465","PG","Raymond","Felton","19.4","33","4800","NO@DAL","DAL","NO","","","",""
"9556","SG","Eric","Gordon","22.8","32","4800","NO@DAL","NO","DAL","","","",""
"14510","SG","Alec","Burks","21.4","28","4800","MEM@UTA","UTA","MEM","O","Ankle","",""
"12459","C","Nikola","Pekovic","0","25","4800","MIL@MIN","MIN","MIL","O","Achilles","",""
"9664","SF","Andre","Iguodala","21","32","4800","DEN@GS","GS","DEN","","","",""
"15691","PF","Cody","Zeller","19.2","30","4700","OKC@CHA","CHA","OKC","","","",""
"9514","SG","Rodney","Stuckey","19.1","27","4700","DET@IND","IND","DET","","","",""
"40783","SG","Zach","LaVine","21.8","33","4700","MIL@MIN","MIN","MIL","","","",""
"55062","C","Nikola","Jokic","18.8","31","4700","DEN@GS","DEN","GS","GTD","Knee","",""
"9725","SF","C.J.","Miles","21.6","27","4700","DET@IND","IND","DET","","","",""
"16331","C","Festus","Ezeli","20.1","30","4600","DEN@GS","GS","DEN","GTD","Toe","",""
"9810","PG","Jerryd","Bayless","21.7","22","4600","MIL@MIN","MIL","MIN","","","",""
"9506","SG","J.R.","Smith","18.8","26","4600","ORL@CLE","CLE","ORL","","","",""
"20064","PG","Matthew","Dellavedova","19.8","29","4500","ORL@CLE","CLE","ORL","","","",""
"23831","PF","Jerami","Grant","20.4","35","4500","PHI@LAC","PHI","LAC","","","",""
"14501","PF","Tristan","Thompson","21.1","30","4500","ORL@CLE","CLE","ORL","","","",""
"9704","SG","Manu","Ginobili","19.3","28","4500","HOU@SA","SA","HOU","","","",""
"19456","PG","Isaiah","Canaan","17.3","35","4400","PHI@LAC","PHI","LAC","","","",""
"24544","SG","Gary","Harris","18","27","4400","DEN@GS","DEN","GS","","","",""
"9495","PG","Jose Juan","Barea","18","27","4400","NO@DAL","DAL","NO","","","",""
"42550","PF","Jabari","Parker","18.5","28","4400","MIL@MIN","MIL","MIN","","","",""
"14515","SG","Iman","Shumpert","14.4","8","4400","ORL@CLE","CLE","ORL","","","",""
"9583","PG","Mario","Chalmers","17.7","31","4400","MEM@UTA","MEM","UTA","","","",""
"9601","C","Andrew","Bogut","20.7","25","4400","DEN@GS","GS","DEN","","","",""
"9484","PG","Mo","Williams","19.2","24","4300","ORL@CLE","CLE","ORL","","","",""
"12350","PF","Trevor","Booker","16.3","30","4300","MEM@UTA","UTA","MEM","","","",""
"15736","C","Jeff","Withey","12","23","4200","MEM@UTA","UTA","MEM","","","",""
"15559","SG","Jeremy","Lamb","19.5","31","4200","OKC@CHA","CHA","OKC","","","",""
"12474","PG","Patrick","Beverley","16.9","27","4200","HOU@SA","HOU","SA","","","",""
"40209","C","Joffrey","Lauvergne","19","18","4200","DEN@GS","DEN","GS","","","",""
"16448","PF","Frank","Kaminsky","14.6","31","4100","OKC@CHA","CHA","OKC","","","",""
"16220","SG","Dion","Waiters","16.9","33","4000","OKC@CHA","OKC","CHA","","","",""
"9491","PF","J.J.","Hickson","16.8","17","4000","DEN@GS","DEN","GS","","","",""
"14527","PG","Norris","Cole","14.7","15","4000","NO@DAL","NO","DAL","","","",""
"9611","PF","Ryan","Hollins","4.3","6","4000","MEM@UTA","MEM","UTA","","","",""
"9615","SG","Courtney","Lee","17","34","4000","MEM@UTA","MEM","UTA","","","",""
"55057","C","Jusuf","Nurkic","0","25","4000","DEN@GS","DEN","GS","GTD","Knee","",""
"9459","SF","Paul","Pierce","9.9","32","3900","PHI@LAC","LAC","PHI","","","",""
"12357","SF","Quincy","Pondexter","0","25","3900","NO@DAL","NO","DAL","O","Knee","",""
"12354","C","Cole","Aldrich","10.2","12","3900","PHI@LAC","LAC","PHI","","","",""
"14549","PF","Lavoy","Allen","14.8","31","3900","DET@IND","IND","DET","","","",""
"63826","C","Boban","Marjanovic","9.7","18","3900","HOU@SA","SA","HOU","","","",""
"23169","C","Steven","Adams","16.7","33","3900","OKC@CHA","OKC","CHA","","","",""
"9643","PG","Shaun","Livingston","13.6","30","3900","DEN@GS","GS","DEN","","","",""
"9694","SG","Kevin","Martin","16.9","26","3900","MIL@MIN","MIN","MIL","","","",""
"58350","SF","Stanley","Johnson","14.8","33","3800","DET@IND","DET","IND","","","",""
"9964","PG","Ty","Lawson","15.4","31","3800","HOU@SA","HOU","SA","","","",""
"9448","SG","Jamal","Crawford","17","34","3800","PHI@LAC","LAC","PHI","","","",""
"9939","PG","Patrick","Mills","15.7","34","3800","HOU@SA","SA","HOU","","","",""
"14519","PF","Donatas","Motiejunas","9","14","3800","HOU@SA","HOU","SA","","","",""
"9629","PF","David","West","14.1","34","3800","HOU@SA","SA","HOU","","","",""
"15952","PF","John","Henson","15.9","29","3800","MIL@MIN","MIL","MIN","","","",""
"9678","PF","Channing","Frye","13","28","3800","ORL@CLE","ORL","CLE","","","",""
"9700","C","Spencer","Hawes","13.1","27","3800","OKC@CHA","CHA","OKC","GTD","Back","",""
"9733","SG","Randy","Foye","12.4","33","3700","DEN@GS","DEN","GS","","","",""
"16196","PF","Dwight","Powell","17.1","32","3700","NO@DAL","DAL","NO","","","",""
"9920","PF","Anthony","Tolliver","11.6","32","3700","DET@IND","DET","IND","","","",""
"9935","C","Brandan","Wright","14.1","7","3700","MEM@UTA","MEM","UTA","O","Knee","",""
"9471","PF","Boris","Diaw","13.9","34","3700","HOU@SA","SA","HOU","","","",""
"41594","PF","Aaron","Gordon","16.3","32","3700","ORL@CLE","ORL","CLE","","","",""
"18393","PG","T.J.","McConnell","19","35","3700","PHI@LAC","PHI","LAC","","","",""
"15592","PG","Austin","Rivers","12.5","31","3700","PHI@LAC","LAC","PHI","","","",""
"17747","SG","Ian","Clark","7.3","27","3700","DEN@GS","GS","DEN","","","",""
"58253","PF","Myles","Turner","13.1","10","3600","DET@IND","IND","DET","","","",""
"9955","SG","Marcus","Thornton","17.2","29","3600","HOU@SA","HOU","SA","","","",""
"9968","SG","Jodie","Meeks","1.7","2","3600","DET@IND","DET","IND","O","Foot","",""
"9458","SG","Tony","Allen","13.8","29","3600","MEM@UTA","MEM","UTA","","","",""
"48567","PG","Cameron","Payne","7.1","17","3600","OKC@CHA","OKC","CHA","","","",""
"9525","PG","C.J.","Watson","13.1","8","3600","ORL@CLE","ORL","CLE","O","Calf","",""
"12344","PG","Greivis","Vasquez","15.6","16","3600","MIL@MIN","MIL","MIN","O","Ankle","",""
"9613","SG","Devin","Harris","14.4","28","3600","NO@DAL","DAL","NO","GTD","Back","",""
"9683","PG","Steve","Blake","10.9","27","3600","DET@IND","DET","IND","","","",""
"23717","SF","Shabazz","Muhammad","11.7","33","3600","MIL@MIN","MIN","MIL","","","",""
"58461","PF","Trey","Lyles","8.2","29","3600","MEM@UTA","UTA","MEM","","","",""
"15782","PG","Russ","Smith","3.7","15","3500","MEM@UTA","MEM","UTA","","","",""
"59318","SF","Joe","Ingles","7.8","30","3500","MEM@UTA","UTA","MEM","","","",""
"15792","C","Johnny","O'Bryant","9.1","31","3500","MIL@MIN","MIL","MIN","","","",""
"9785","SF","James","Jones","6.1","27","3500","ORL@CLE","CLE","ORL","","","",""
"20907","C","Shayne","Whittington","3.1","2","3500","DET@IND","IND","DET","","","",""
"63123","SF","Mario","Hezonja","7.1","30","3500","ORL@CLE","ORL","CLE","","","",""
"9783","C","Joel","Anthony","3.3","8","3500","DET@IND","DET","IND","","","",""
"9739","C","JaVale","McGee","9.1","14","3500","NO@DAL","DAL","NO","","","",""
"9734","SF","Mike","Miller","5.3","25","3500","DEN@GS","DEN","GS","","","",""
"16301","C","Dewayne","Dedmon","10.4","20","3500","ORL@CLE","ORL","CLE","","","",""
"9758","SG","Danny","Green","15.5","34","3500","HOU@SA","SA","HOU","","","",""
"9751","PG","Toney","Douglas","11.5","18","3500","NO@DAL","NO","DAL","","","",""
"37931","C","Aron","Baynes","10.6","32","3500","DET@IND","DET","IND","","","",""
"64017","C","Salah","Mejri","2.2","5","3500","NO@DAL","DAL","NO","","","",""
"16335","SG","John","Jenkins","5.4","15","3500","NO@DAL","DAL","NO","","","",""
"16348","SG","Darrun","Hilliard","3.5","10","3500","DET@IND","DET","IND","","","",""
"15864","PF","Adreian","Payne","7.1","24","3500","MIL@MIN","MIN","MIL","","","",""
"9804","C","Alexis","Ajinca","11","23","3500","NO@DAL","NO","DAL","","","",""
"55376","SF","Damjan","Rudez","3.4","15","3500","MIL@MIN","MIN","MIL","","","",""
"16363","SG","Joe","Harris","1.7","5","3500","ORL@CLE","CLE","ORL","","","",""
"9796","SF","Luc Richard","Mbah a Moute","6","32","3500","PHI@LAC","LAC","PHI","","","",""
"16378","SG","Erick","Green","0.9","3","3500","DEN@GS","DEN","GS","","","",""
"9895","SF","Steve","Novak","2.9","5","3500","OKC@CHA","OKC","CHA","","","",""
"17491","SF","James","Ennis","3.7","8","3500","MEM@UTA","MEM","UTA","","","",""
"23447","PF","Richaun","Holmes","11.1","25","3500","PHI@LAC","PHI","LAC","","","",""
"15631","SF","Hollis","Thompson","15.2","34","3500","PHI@LAC","PHI","LAC","O","Eye","",""
"58661","SG","Rashad","Vaughn","4.2","26","3500","MIL@MIN","MIL","MIN","","","",""
"16183","SF","Jakarr","Sampson","10.4","34","3500","PHI@LAC","PHI","LAC","","","",""
"16202","PF","Rakeem","Christmas","0","24","3500","DET@IND","IND","DET","","","",""
"9449","PF","Josh","Smith","14.4","29","3500","PHI@LAC","LAC","PHI","","","",""
"9461","PF","Kevin","Garnett","13.2","28","3500","MIL@MIN","MIN","MIL","","","",""
"9463","C","Kendrick","Perkins","6.7","8","3500","NO@DAL","NO","DAL","","","",""
"9942","SF","Chase","Budinger","10","32","3500","DET@IND","IND","DET","","","",""
"20805","SG","Troy","Daniels","3.3","13","3500","OKC@CHA","CHA","OKC","","","",""
"9940","PF","Dante","Cunningham","9.7","32","3500","NO@DAL","NO","DAL","","","",""
"17462","SG","Chris","Johnson","4.1","22","3500","MEM@UTA","UTA","MEM","","","",""
"9466","PG","D.J.","Augustin","8.7","31","3500","OKC@CHA","OKC","CHA","","","",""
"15699","SG","Roy Devyn","Marble","0.9","6","3500","ORL@CLE","ORL","CLE","","","",""
"9496","PG","Jason","Terry","9.5","27","3500","HOU@SA","HOU","SA","","","",""
"12391","PF","Jeremy","Evans","4.6","23","3500","NO@DAL","DAL","NO","","","",""
"58081","PG","Tyus","Jones","7.7","7","3500","MIL@MIN","MIN","MIL","","","",""
"15542","PG","Spencer","Dinwiddie","7.7","9","3500","DET@IND","DET","IND","","","",""
"9490","C","Anderson","Varejao","6.3","23","3500","ORL@CLE","CLE","ORL","","","",""
"15548","SG","Andre","Roberson","12.9","32","3500","OKC@CHA","OKC","CHA","","","",""
"15532","SF","K.J.","McDaniels","3.2","10","3500","HOU@SA","HOU","SA","","","",""
"9529","SG","Anthony","Morrow","8.3","31","3500","OKC@CHA","OKC","CHA","","","",""
"12353","C","Tibor","Pleiss","1","5","3500","MEM@UTA","UTA","MEM","","","",""
"23098","SF","Kostas","Papanikolaou","6.1","24","3500","DEN@GS","DEN","GS","","","",""
"9520","PF","Charlie","Villanueva","11","30","3500","NO@DAL","DAL","NO","","","",""
"16059","SG","Jared","Cunningham","6.4","24","3500","ORL@CLE","CLE","ORL","","","",""
"9518","SF","Tayshaun","Prince","7.2","33","3500","MIL@MIN","MIN","MIL","","","",""
"12368","SF","Nemanja","Bjelica","12.1","28","3500","MIL@MIN","MIN","MIL","","","",""
"12369","SG","Lance","Stephenson","9.4","31","3500","PHI@LAC","LAC","PHI","","","",""
"14532","SF","Kyle","Singler","5","24","3500","OKC@CHA","OKC","CHA","","","",""
"18352","PG","Ray","McCallum","4.5","14","3500","HOU@SA","SA","HOU","","","",""
"9559","SF","Rasual","Butler","6.1","24","3500","HOU@SA","SA","HOU","","","",""
"9549","SG","Brandon","Rush","9.9","24","3500","DEN@GS","GS","DEN","","","",""
"9551","PF","Tyler","Hansbrough","5.5","17","3500","OKC@CHA","CHA","OKC","","","",""
"15591","C","Miles","Plumlee","6.6","21","3500","MIL@MIN","MIL","MIN","","","",""
"9540","C","Chuck","Hayes","6.8","2","3500","HOU@SA","HOU","SA","","","",""
"12828","SF","Elijah","Millsap","5.9","20","3500","MEM@UTA","UTA","MEM","","","",""
"12348","SF","Wesley","Johnson","10.6","34","3500","PHI@LAC","LAC","PHI","","","",""
"12349","SF","Luke","Babbitt","9.2","17","3500","NO@DAL","NO","DAL","","","",""
"9539","PF","Carl","Landry","15.4","3","3500","PHI@LAC","PHI","LAC","","","",""
"9580","PF","Darrell","Arthur","14.5","30","3500","DEN@GS","DEN","GS","","","",""
"15560","PG","Shabazz","Napier","8.2","28","3500","ORL@CLE","ORL","CLE","","","",""
"15417","SG","Solomon","Hill","6.9","16","3500","DET@IND","IND","DET","","","",""
"11104","SF","Alonzo","Gee","9.9","32","3500","NO@DAL","NO","DAL","","","",""
"18828","SG","Joseph","Young","2.9","11","3500","DET@IND","IND","DET","","","",""
"23799","PF","Mitch","McGary","3.3","6","3500","OKC@CHA","OKC","CHA","","","",""
"42664","PG","Aaron","Harrison","2.6","5","3500","OKC@CHA","CHA","OKC","","","",""
"23801","SG","Nik","Stauskas","12.7","32","3500","PHI@LAC","PHI","LAC","","","",""
"18821","SG","Jonathon","Simmons","9.5","20","3500","HOU@SA","SA","HOU","","","",""
"23800","SF","Glenn","Robinson III","6.9","18","3500","DET@IND","IND","DET","","","",""
"23776","PF","Montrezl","Harrell","6.3","17","3500","HOU@SA","HOU","SA","","","",""
"15405","PF","JaMychal","Green","12.6","34","3500","MEM@UTA","MEM","UTA","","","",""
"9606","SF","Corey","Brewer","13.4","34","3500","HOU@SA","HOU","SA","","","",""
"9649","PF","Nick","Collison","7.8","29","3500","OKC@CHA","OKC","CHA","","","",""
"9654","SF","Vince","Carter","8.4","17","3500","MEM@UTA","MEM","UTA","","","",""
"15925","PG","Phil (Flip)","Pressey","11.2","14","3500","PHI@LAC","PHI","LAC","","","",""
"23220","SF","Chris","Copeland","3.5","18","3500","MIL@MIN","MIL","MIN","","","",""
"23744","SF","Justin","Anderson","3.6","19","3500","NO@DAL","DAL","NO","","","",""
"40819","PF","Jarell","Martin","1","2","3500","MEM@UTA","MEM","UTA","","","",""
"23757","PG","Brian","Roberts","5.6","15","3500","OKC@CHA","CHA","OKC","","","",""
"9682","PG","Andre","Miller","9.5","15","3500","MIL@MIN","MIN","MIL","","","",""
"55061","SF","Damien","Inglis","2.9","7","3500","MIL@MIN","MIL","MIN","O","Ankle","",""
"15954","PG","Kendall","Marshall","10.1","8","3500","PHI@LAC","PHI","LAC","","","",""
"15955","PF","James Michael","McAdoo","5","25","3500","DEN@GS","GS","DEN","","","",""
"9669","PF","Jason","Smith","10.7","28","3500","ORL@CLE","ORL","CLE","","","",""
"15947","SF","Reggie","Bullock","1.1","16","3500","DET@IND","DET","IND","","","",""
"23716","SF","Kyle","Anderson","8.5","32","3500","HOU@SA","SA","HOU","","","",""
"9671","PF","Marreese","Speights","9.2","26","3500","DEN@GS","GS","DEN","","","",""
"42202","PF","Christian","Wood","8","14","3500","PHI@LAC","PHI","LAC","","","",""
"15951","SF","P.J.","Hairston","10.4","29","3500","OKC@CHA","CHA","OKC","","","",""
"23715","SG","Jordan","Adams","9","2","3500","MEM@UTA","MEM","UTA","O","Knee","",""
"23234","PG","Pablo","Prigioni","7.7","14","3500","PHI@LAC","LAC","PHI","","","",""
"9674","SG","Leandro","Barbosa","11.1","25","3500","DEN@GS","GS","DEN","GTD","Shoulder","",""
"12424","C","Timofey","Mozgov","13.4","27","3500","ORL@CLE","CLE","ORL","","","",""
"42689","PG","Tyler","Ennis","6.7","14","3500","MIL@MIN","MIL","MIN","","","",""
"23282","SF","Sam","Dekker","1.1","3","3500","HOU@SA","HOU","SA","O","Back","",""
"12423","C","Omer","Asik","9.1","25","3500","NO@DAL","NO","DAL","","","",""
"40208","PG","Raul","Neto","11","30","3500","MEM@UTA","UTA","MEM","","","",""
"66520","C","Sasha","Kaun","3","8","3500","ORL@CLE","CLE","ORL","","","",""
"17218","PF","Andrew","Nicholson","13.4","24","3500","ORL@CLE","ORL","CLE","","","",""
"9698","PF","Jason","Thompson","5.5","16","3500","DEN@GS","GS","DEN","","","",""
"9709","C","Matt","Bonner","4.5","13","3500","HOU@SA","SA","HOU","","","",""
"9706","SF","Richard","Jefferson","11","29","3500","ORL@CLE","CLE","ORL","","","",""